ID_DECLARATION;ID_ENVOI_EDI;ID_FORMULAIRE;ID_ADHERENT;ANNEE_DECLAR;PERIODE_DECLAR;REGIME_DECLAR;CODE_COMP;DATE_DEPOT;FAIT_GEN;RENS;MODE_DECLAR;CA_GLOBAL;MNT_TAXE;MNT_DEDUCTION;MNT_CREDIT;TVA_DUE;PAIEMENT_ACCOMP;TAXE_PAYEE;ETAT_DECLARATION;RELEVE_DEDUCTION;DATE_EFF_DEPOT;IS_HISTORY_ONLY;TYPE_DECLAR;DELETED;USER_MAJ;DATE_MAJ;DATE_TRANSFERT_METIER;MAJ;MAJ_T_METIER;RELEVE_DEDUCTION_AUTRE;PAIEMENT_MC_INITILIZED;REF_PAIEMENT;MONTANT_VERSE;PRINCIPAL_VERSE;DROITS_COMP_TVA;DATE_CESSION_OU_CESSATION
22691;NULL;381;10;2021;7;1;0;NULL;NULL;NULL;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;NULL;NULL;0;NULL;1;raji16;2021-08-18 12:40:48.997;NULL;NULL;NULL;NULL;0;NULL;NULL;NULL;NULL;NULL
22692;NULL;221;10;2015;1;1;0;NULL; ;NULL;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;;NULL;0;NULL;1;raji16;2021-08-18 12:40:33.81;NULL;NULL;NULL;;0;NULL;NULL;0.00;0.00;NULL
22693;NULL;381;10;2021;7;1;0;NULL;NULL;NULL;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;NULL;NULL;0;NULL;1;raji16;2021-08-18 16:29:13.8;NULL;NULL;NULL;NULL;0;NULL;NULL;NULL;NULL;NULL
22701;NULL;381;10;2021;7;1;0;NULL; ;NULL;1;100.00;20.00;0.00;0.00;20.00;0.00;20.00;2;;NULL;0;D;1;raji16;2021-08-23 11:17:23.645;NULL;NULL;NULL;;0;NULL;NULL;0.00;20.00;NULL
22702;NULL;381;10;2021;7;1;0;NULL;NULL;NULL;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;NULL;NULL;0;NULL;1;raji16;2021-08-23 12:13:34.759;NULL;NULL;NULL;NULL;0;NULL;NULL;NULL;NULL;NULL
22703;NULL;381;1111;2021;7;1;0;31/08/2021; ;NULL;1;1601618.00;320424.00;0.00;0.00;320424.00;0.00;455003.00;4;;31/08/2021;0;D;0;boujmal_1844;2022-01-25 10:55:15.495;NULL;NULL;NULL;;0;NULL;NULL;0.00;320424.00;NULL
22704;NULL;381;10;2021;7;1;0;NULL;E;NULL;1;500.00;110.00;200.00;0.00;0.00;300.00;300.00;0;NULL;NULL;0;C;1;raji16;2021-08-23 16:14:00.125;NULL;NULL;NULL;NULL;0;NULL;NULL;0.00;300.00;NULL
22705;NULL;221;10;2015;1;1;0;NULL;NULL;NULL;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;NULL;NULL;0;NULL;1;raji16;2021-08-23 16:14:38.259;NULL;NULL;NULL;NULL;0;NULL;NULL;NULL;NULL;NULL
22706;NULL;361;10;2020;1;1;0;NULL;NULL;NULL;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;NULL;NULL;0;NULL;1;raji16;2021-08-23 16:17:27.743;NULL;NULL;NULL;NULL;0;NULL;NULL;NULL;NULL;NULL
22707;NULL;302;10;2019;1;1;0;NULL; ;NULL;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;;NULL;0;NULL;1;raji16;2021-08-23 16:16:35.089;NULL;NULL;NULL;;0;NULL;NULL;0.00;0.00;NULL
22708;NULL;101;10;2014;1;1;0;NULL;NULL;NULL;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;NULL;NULL;0;NULL;1;raji16;2021-08-23 16:28:47.084;NULL;NULL;NULL;NULL;0;NULL;NULL;NULL;NULL;NULL
22709;NULL;221;10;2015;1;1;0;NULL;NULL;NULL;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;NULL;NULL;0;NULL;1;raji16;2021-08-23 16:30:03.496;NULL;NULL;NULL;NULL;0;NULL;NULL;NULL;NULL;NULL
22710;NULL;381;10;2021;7;1;0;NULL;NULL;NULL;1;100.00;20.00;0.00;0.00;20.00;0.00;20.00;2;NULL;NULL;0;D;1;raji16;2021-08-24 11:20:31.324;NULL;NULL;NULL;NULL;0;NULL;NULL;0.00;20.00;NULL
22721;NULL;101;10;2014;1;1;0;NULL;NULL;NULL;1;0.00;0.00;0.00;0.00;0.00;0.00;500.00;0;NULL;NULL;0;N;1;raji16;2021-08-24 14:45:36.323;NULL;NULL;NULL;NULL;0;NULL;NULL;0.00;0.00;NULL
22722;NULL;221;10;2015;1;1;0;NULL;NULL;NULL;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;NULL;NULL;0;NULL;1;raji16;2021-08-24 12:09:39.276;NULL;NULL;NULL;NULL;0;NULL;NULL;NULL;NULL;NULL
22723;NULL;221;10;2016;1;1;0;NULL;NULL;NULL;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;NULL;NULL;0;NULL;1;raji16;2021-08-24 12:09:56.146;NULL;NULL;NULL;NULL;0;NULL;NULL;NULL;NULL;NULL
22724;NULL;281;10;2017;1;1;0;NULL;NULL;NULL;1;0.00;0.00;0.00;0.00;0.00;0.00;500.00;0;NULL;NULL;0;N;1;raji16;2021-08-31 10:55:10.952;NULL;NULL;NULL;NULL;0;NULL;NULL;0.00;0.00;NULL
22725;NULL;281;10;2018;1;1;0;NULL;NULL;NULL;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;NULL;NULL;0;NULL;1;raji16;2021-08-24 12:10:43.313;NULL;NULL;NULL;NULL;0;NULL;NULL;NULL;NULL;NULL
2;NULL;2;29;2007;1;1;0;26/03/2022;NULL;NULL;1;1000.00;200.00;0.00;0.00;200.00;0.00;1370.00;0;;26/03/2022;0;D;1;boujmal_1844;2021-10-26 14:17:20.463;NULL;NULL;M;NULL;1;1.01659E+12;NULL;0.00;200.00;NULL
21;NULL;1;29;2006;10;1;0;NULL;NULL;NULL;1;3200.00;640.00;0.00;0.00;640.00;0.00;838.40;0;;NULL;0;D;1;elmontasir_16;2007-02-27 21:16:34.642;NULL;NULL;M;NULL;0;NULL;NULL;0.00;0.00;NULL
22;NULL;2;29;2007;1;1;1;27/02/2007;NULL;NULL;1;2000.00;400.00;0.00;0.00;400.00;0.00;400.00;4;;27/02/2007;0;D;1;aboulehadi;2007-02-27 21:30:58.32;NULL;NULL;M;NULL;0;NULL;NULL;0.00;0.00;NULL
41;NULL;2;1111;2007;1;1;0;28/02/2007;NULL;NULL;1;134477992.17;26895598.00;9069973.71;0.00;17825624.29;0.00;17825624.29;4;;28/02/2007;0;D;1;amahfoud_1660323;2007-02-28 13:15:12.179;NULL;M;NULL;NULL;0;NULL;NULL;0.00;0.00;NULL
42;NULL;2;1111;2007;1;1;0;28/02/2007;NULL;NULL;1;5467056.07;1086975.00;1271706.71;0.00;0.00;0.00;0.00;4;;28/02/2007;0;C;1;omounsif_1600893;2007-02-28 16:45:53.296;NULL;NULL;M;NULL;0;NULL;NULL;0.00;0.00;NULL
61;NULL;2;1111;2007;2;1;0;07/03/2007;NULL;NULL;1;10000.00;2000.00;200.00;0.00;1800.00;0.00;1800.00;4;;07/03/2007;0;D;1;raji16;2007-03-07 15:25:38.774;NULL;NULL;M;NULL;0;NULL;NULL;0.00;0.00;NULL
81;NULL;2;29;2007;2;1;2;19/03/2007;NULL;NULL;1;1000.00;200.00;80.00;0.00;120.00;0.00;120.00;4;EtreHeureux.pps;19/03/2007;0;D;1;raji16;2007-03-19 14:29:14.703;NULL;NULL;M;NULL;0;NULL;NULL;0.00;0.00;NULL
82;NULL;2;29;2007;2;1;3;19/03/2007;NULL;NULL;1;1000.00;200.00;20.00;0.00;180.00;0.00;180.00;4;test.doc;19/03/2007;0;D;1;raji16;2007-03-19 14:51:57.293;NULL;NULL;M;NULL;0;NULL;NULL;0.00;0.00;NULL
161;NULL;2;29;2007;3;1;0;26/04/2007;NULL;NULL;1;2000.00;400.00;0.00;0.00;400.00;0.00;400.00;4;;26/04/2007;0;D;1;raji16;2007-04-26 12:01:04.91;NULL;NULL;M;NULL;0;NULL;NULL;0.00;0.00;NULL
121;NULL;2;1111;2007;2;1;0;30/03/2007;NULL;NULL;1;119178263.70;23649732.80;2453580.49;0.00;21196152.31;0.00;21196152.32;4;TABLEAU RECUPERATION TVA FEV 2007.xls;30/03/2007;0;D;1;amahfoud_1660323;2007-03-30 14:46:10.566;16/12/2013;NULL;M;NULL;0;NULL;NULL;0.00;0.00;NULL
122;NULL;2;1111;2007;2;1;0;27/03/2007;NULL;NULL;1;8721228.21;1744246.00;540807.01;0.00;1203438.99;0.00;1203438.99;4;Dail rupation TVA 02-07 Bull Maroc-IF1600893.xls;27/03/2007;0;D;1;omounsif_1600893;2007-03-27 13:18:49.217;NULL;NULL;M;NULL;0;NULL;NULL;0.00;0.00;NULL
141;NULL;2;1111;2007;1;1;0;30/03/2007;NULL;NULL;1;8032428.42;1605991.00;1710039.06;0.00;0.00;0.00;0.00;4;TELEDECLARATION02.2007.123;30/03/2007;0;C;1;mlharaoui_1030709;2007-03-30 12:02:29.556;NULL;NULL;M;NULL;0;NULL;NULL;0.00;0.00;NULL
142;NULL;2;29;2007;2;1;0;30/03/2007;NULL;NULL;1;8032428.42;1605991.00;1710039.06;0.00;0.00;0.00;0.00;4;TELEDECLARATION02.2007.123;30/03/2007;0;C;1;mlharaoui_1030709;2007-03-30 15:20:51.443;NULL;NULL;M;NULL;0;NULL;NULL;0.00;0.00;NULL
181;NULL;2;1111;2007;3;1;0;30/04/2007;NULL;NULL;1;140175134.00;27981122.10;6819992.18;0.00;21161129.92;0.00;21161129.92;4;TABLEAU RECUPERATION TVA MARS 2007.xls;30/04/2007;0;D;1;amahfoud_1660323;2007-04-30 12:56:20.079;04/11/2013;NULL;M;NULL;0;NULL;NULL;0.00;0.00;NULL
183;NULL;2;1111;2007;3;1;0;27/04/2007;NULL;NULL;1;18644783.40;3728741.00;1640729.69;0.00;2088011.31;0.00;2088011.31;4;TELEDECLARATION03.2007.123;27/04/2007;0;D;1;mlharaoui_1030709;2007-04-27 12:23:27.923;16/12/2013;NULL;M;NULL;0;NULL;NULL;0.00;0.00;NULL
221;NULL;1;29;2006;12;1;0;15/05/2007;NULL;NULL;1;5000.00;1000.00;500.00;0.00;500.00;0.00;657.50;4;test2.doc;15/05/2007;0;D;1;raji16;2007-05-15 17:01:32.789;04/11/2013;NULL;M;NULL;0;NULL;NULL;0.00;0.00;NULL
222;NULL;2;1111;2007;4;1;0;15/05/2007;NULL;NULL;1;200.00;40.00;0.00;0.00;40.00;0.00;40.00;4;;15/05/2007;0;D;1;raji16;2007-05-15 17:13:49.253;NULL;NULL;NULL;NULL;0;NULL;NULL;0.00;0.00;NULL
767;NULL;2;29;2007;10;1;2;08/11/2007;NULL;NULL;1;5000.00;1000.00;10.00;0.00;990.00;0.00;990.00;4;;08/11/2007;0;D;1;selmontassir_16;2007-11-08 20:57:32.241;NULL;NULL;NULL;NULL;0;NULL;NULL;0.00;0.00;NULL
243;NULL;2;1111;2007;4;1;0;25/05/2007;NULL;NULL;1;164714369.15;32942874.00;22392015.00;0.00;10550859.00;0.00;10550859.00;4;TVA CA 042007 fisc.XLS;25/05/2007;0;D;1;cnater_3330751;2007-05-25 19:09:17.737;NULL;NULL;M;NULL;0;NULL;NULL;0.00;0.00;NULL
242;NULL;2;1111;2007;4;1;0;29/05/2007;NULL;NULL;1;13257914.01;2651340.00;2217917.34;0.00;433422.66;0.00;433422.67;4;Teledeclaration 04.2007.pdf;29/05/2007;0;D;1;mlharaoui_1030709;2007-05-29 11:05:41.867;NULL;NULL;NULL;NULL;0;NULL;NULL;0.00;0.00;NULL
261;NULL;2;1111;2007;4;1;0;30/05/2007;NULL;NULL;1;4799816.00;939625.00;407005.00;0.00;532620.00;0.00;532620.00;4;Dail rupation TVA 04-07 Bull Maroc-IF1600893.xls;30/05/2007;0;D;1;omounsif_1600893;2007-05-30 09:50:17.96;16/04/2013;NULL;NULL;NULL;0;NULL;NULL;0.00;0.00;NULL
263;NULL;2;1111;2007;4;1;0;30/05/2007;NULL;NULL;1;63244680.00;12332232.20;95962349.10;0.00;0.00;0.00;0.00;4;Nexans-TVA rup6Avril 2007.xls;30/05/2007;0;C;1;sseffar_1066239;2007-05-30 12:02:57.893;16/04/2013;NULL;NULL;NULL;0;NULL;NULL;0.00;0.00;NULL
281;NULL;2;1111;2007;4;1;0;31/05/2007;NULL;NULL;1;134477473.15;26864150.60;6107221.55;0.00;20756929.05;0.00;20756929.05;4;TABLEAU RECUPERATION TVA AVRIL 2007.xls;31/05/2007;0;D;1;amahfoud_1660323;2007-05-31 09:48:13.228;16/04/2013;NULL;NULL;NULL;0;NULL;NULL;0.00;0.00;NULL
301;NULL;2;1111;2007;4;1;0;30/05/2007;NULL;NULL;1;196145200.05;18459146.70;209451051.00;0.00;0.00;0.00;0.00;4;;30/05/2007;0;C;1;felkhlifi_1640392;2007-05-30 16:51:32.426;16/04/2013;NULL;NULL;NULL;0;NULL;NULL;0.00;0.00;NULL
302;NULL;2;29;2007;4;1;0;30/05/2007;NULL;NULL;1;246112707.00;17283766.30;44075081.48;0.00;0.00;0.00;0.00;4;declaration TVA 04-07.xls;30/05/2007;0;C;1;nbouhaddioui_3375348;2007-05-30 17:13:23.92;NULL;NULL;NULL;NULL;0;NULL;NULL;0.00;0.00;NULL
321;NULL;2;1111;2007;5;1;0;22/06/2007;NULL;NULL;1;2318300.00;463660.00;1061818.62;0.00;0.00;0.00;0.00;4;TVA_DHL_Mai2007.xls;22/06/2007;0;C;1;ykanche_1085486;2007-06-22 12:20:20.558;NULL;NULL;NULL;NULL;0;NULL;NULL;0.00;0.00;NULL
341;NULL;2;1111;2007;5;1;0;28/06/2007;NULL;NULL;1;259747252.00;18260785.90;42358665.31;0.00;0.00;0.00;0.00;4;TVA deductible 04-07.xls;28/06/2007;0;C;1;nbouhaddioui_3375348;2007-06-28 15:27:05.02;NULL;NULL;NULL;NULL;0;NULL;NULL;0.00;0.00;NULL
502;NULL;2;1111;2007;6;1;0;26/07/2007;NULL;NULL;1;6899.88;1380.00;4041725.78;0.00;0.00;0.00;0.00;4;Fichier bribes.shs;26/07/2007;0;C;1;mbenhaddou_2220793;2007-07-26 12:43:22.218;NULL;NULL;NULL;NULL;0;NULL;NULL;0.00;0.00;NULL
362;NULL;2;1111;2007;5;1;0;29/06/2007;NULL;NULL;1;15064100.34;2879190.80;1632513.00;0.00;1246677.80;0.00;1246677.80;4;Dail rupation TVA 05-07 Bull Maroc-IF1600893.xls;29/06/2007;0;D;1;omounsif_1600893;2007-06-29 09:29:39.222;04/11/2013;NULL;M;NULL;0;NULL;NULL;0.00;0.00;NULL
503;NULL;2;1111;2007;6;1;0;18/07/2007;NULL;NULL;1;2172050.00;434410.00;937889.08;0.00;0.00;0.00;0.00;4;TVA_DHL_Juin2007.xls;18/07/2007;0;C;1;ykanche_1085486;2007-07-18 19:06:23.938;NULL;NULL;NULL;NULL;0;NULL;NULL;0.00;0.00;NULL
401;NULL;2;1111;2007;5;1;0;29/06/2007;NULL;NULL;1;145218600.83;28641341.70;14362039.30;0.00;14279302.40;0.00;14279302.40;4;TABLEAU RECUPERATION TVA 05 2007.xls;29/06/2007;0;D;1;amahfoud_1660323;2007-06-29 09:51:23.065;NULL;NULL;NULL;NULL;0;NULL;NULL;0.00;0.00;NULL
402;NULL;2;1111;2007;5;1;0;29/06/2007;NULL;NULL;1;244927505.20;23256835.10;223880128.06;0.00;0.00;0.00;0.00;4;Declaration defenitive 052007.xls;29/06/2007;0;C;1;felkhlifi_1640392;2007-06-29 08:58:41.557;NULL;NULL;NULL;NULL;0;NULL;NULL;0.00;0.00;NULL
342;NULL;2;1111;2007;5;1;0;02/07/2007;NULL;NULL;1;68330250.00;13665239.00;99364601.50;0.00;0.00;0.00;0.00;4;Nexans-TVA rup - Mai 2007.xls;02/07/2007;0;C;1;sseffar_1066239;2007-07-02 11:21:39.557;NULL;NULL;NULL;NULL;0;NULL;NULL;0.00;0.00;NULL
422;NULL;2;1111;2007;5;1;0;30/06/2007;NULL;NULL;1;183983376.00;36796676.00;29983305.70;0.00;6813370.30;0.00;6813370.31;4;TVA CA 05 2007 FISC.xls;30/06/2007;0;D;1;cnater_3330751;2007-06-30 16:17:01.905;NULL;NULL;NULL;NULL;0;NULL;NULL;0.00;0.00;NULL
441;NULL;2;1111;2007;6;1;0;06/07/2007;NULL;NULL;1;100.00;20.00;0.00;0.00;20.00;0.00;20.00;4;;06/07/2007;0;D;1;raji16;2007-07-06 11:33:11.937;NULL;NULL;NULL;NULL;0;NULL;NULL;0.00;0.00;NULL
442;NULL;2;29;2007;6;1;1;06/07/2007;NULL;NULL;1;200.00;40.00;0.00;0.00;40.00;0.00;40.00;4;;06/07/2007;0;D;1;raji16;2007-07-06 12:03:10.869;04/11/2013;NULL;M;NULL;0;NULL;NULL;0.00;0.00;NULL
443;NULL;2;29;2007;6;1;2;06/07/2007;NULL;NULL;1;200.00;40.00;0.00;0.00;40.00;0.00;40.00;4;;06/07/2007;0;D;1;raji16;2007-07-06 12:47:58.138;NULL;NULL;NULL;NULL;0;NULL;NULL;0.00;0.00;NULL
461;NULL;2;29;2007;6;1;3;06/07/2007;NULL;NULL;1;500.00;100.00;0.00;0.00;100.00;0.00;100.00;4;;06/07/2007;0;D;1;raji16;2007-07-06 16:10:48.253;04/11/2013;NULL;M;NULL;0;NULL;NULL;0.00;0.00;NULL
481;NULL;2;29;2007;6;1;4;09/07/2007;NULL;NULL;1;300.00;60.00;0.00;0.00;60.00;0.00;60.00;4;;09/07/2007;0;D;1;raji16;2007-07-09 16:27:19.969;NULL;NULL;NULL;NULL;0;NULL;NULL;0.00;0.00;NULL
501;NULL;2;1111;2007;6;1;0;20/07/2007;NULL;NULL;1;20036370.00;3785323.20;948408.16;0.00;2836915.04;0.00;2836915.04;4;Dail rupation TVA 06-07 Bull Maroc-IF1600893.xls;20/07/2007;0;D;1;omounsif_1600893;2007-07-20 15:34:36.303;NULL;NULL;NULL;NULL;0;NULL;NULL;0.00;0.00;NULL
505;NULL;2;1111;2007;6;1;0;24/07/2007;NULL;NULL;1;2314407.00;323341.20;0.00;0.00;323341.20;0.00;323341.20;4;;24/07/2007;0;D;1;kanass_3300462;2007-07-24 10:14:19.163;NULL;NULL;NULL;NULL;0;NULL;NULL;0.00;0.00;NULL
506;NULL;2;1111;2007;6;1;0;24/07/2007;NULL;NULL;1;19282.15;1928.00;0.00;0.00;1928.00;0.00;1928.00;4;;24/07/2007;0;D;1;ibenhamani_3300463;2007-07-24 10:58:03.016;NULL;NULL;NULL;NULL;0;NULL;NULL;0.00;0.00;NULL
507;NULL;2;1111;2007;6;1;0;25/07/2007;NULL;NULL;1;0.00;0.00;9258313.35;0.00;0.00;0.00;0.00;4;tva _06_07.xls;25/07/2007;0;C;1;mlaissaoui_3315040;2007-07-25 14:28:20.707;NULL;NULL;NULL;NULL;0;NULL;NULL;0.00;0.00;NULL
508;NULL;2;1111;2007;6;1;0;31/07/2007;NULL;NULL;1;141365236.00;9926803.20;38310803.52;0.00;0.00;0.00;0.00;4;TVA deductible 05-07.xls;31/07/2007;0;C;1;nbouhaddioui_3375348;2007-07-31 11:40:27.106;NULL;NULL;NULL;NULL;0;NULL;NULL;0.00;0.00;NULL
509;NULL;2;1111;2007;6;1;0;26/07/2007;NULL;NULL;1;7367244.00;1469753.60;837801.06;0.00;631952.54;0.00;631952.54;4;TVA  06-07.pdf;26/07/2007;0;D;1;mlharaoui_1030709;2007-07-26 18:55:57.814;NULL;NULL;NULL;NULL;0;NULL;NULL;0.00;0.00;NULL
511;NULL;2;1111;2007;6;1;0;27/07/2007;NULL;NULL;1;158913824.00;31782764.00;14422938.64;0.00;17359825.36;0.00;17359825.36;4;declaration TVA CA JUIN 2006.XLS;27/07/2007;0;D;1;cnater_3330751;2007-07-27 18:22:04.187;NULL;NULL;NULL;NULL;0;NULL;NULL;0.00;0.00;NULL
512;NULL;2;1111;2007;6;1;0;31/07/2007;NULL;NULL;1;99156140.00;19509567.20;98793983.32;0.00;0.00;0.00;0.00;4;Nexans Maroc - TVA rup-Juin 2007.xls;31/07/2007;0;C;1;sseffar_1066239;2007-07-31 11:45:36.942;NULL;NULL;NULL;NULL;0;NULL;NULL;0.00;0.00;NULL
513;NULL;2;29;2007;6;1;5;24/08/2007;NULL;NULL;1;200000.00;40000.00;0.00;0.00;40000.00;0.00;52000.00;4;;24/08/2007;0;D;1;raji16;2007-08-24 15:37:50.943;NULL;NULL;NULL;NULL;0;NULL;NULL;0.00;0.00;NULL
521;NULL;2;29;2007;7;1;0;03/08/2007;NULL;NULL;1;179049620.00;35809924.00;19025755.76;0.00;16784168.24;0.00;16784168.24;4;dec tva CA 072007FISC.XLS;03/08/2007;0;D;1;cnater_3330751;2007-08-03 14:43:16.407;NULL;NULL;NULL;NULL;0;NULL;NULL;0.00;0.00;NULL
561;NULL;2;1111;2007;7;1;0;22/08/2007;NULL;NULL;1;266476981.00;25464525.20;236985888.20;0.00;0.00;0.00;0.00;4;declaration defenitive 072007.xls;22/08/2007;0;C;1;felkhlifi_1640392;2007-08-22 15:10:43.154;16/12/2013;NULL;M;NULL;0;NULL;NULL;0.00;0.00;NULL
581;NULL;2;1111;2007;7;1;0;29/08/2007;NULL;NULL;1;19181.02;1918.00;0.00;0.00;1918.00;0.00;1918.00;4;;29/08/2007;0;D;1;ibenhamani_3300463;2007-08-29 08:27:40.292;NULL;NULL;NULL;NULL;0;NULL;NULL;0.00;0.00;NULL
582;NULL;2;1111;2007;7;1;0;29/08/2007;NULL;NULL;1;0.00;0.00;3315886.38;0.00;0.00;0.00;0.00;4;Fichier bribes.shs;29/08/2007;0;C;1;skahkahni_2220793;2007-08-29 12:08:00.768;NULL;NULL;NULL;NULL;0;NULL;NULL;0.00;0.00;NULL
583;NULL;2;1111;2007;7;1;0;31/08/2007;NULL;NULL;1;13672667.00;2734301.00;2750401.00;0.00;0.00;0.00;0.00;4;teledeclaration07.2007.pdf;31/08/2007;0;C;1;mlharaoui_1030709;2007-08-31 10:00:03.351;NULL;NULL;NULL;NULL;0;NULL;NULL;0.00;0.00;NULL
584;NULL;2;1111;2007;7;1;0;28/08/2007;NULL;NULL;1;3702578.00;517691.20;0.00;0.00;517691.20;0.00;517691.20;4;;28/08/2007;0;D;1;kanass_3300462;2007-08-28 14:47:33.391;NULL;NULL;NULL;NULL;0;NULL;NULL;0.00;0.00;NULL
585;NULL;2;1111;2007;7;1;0;28/08/2007;NULL;NULL;1;3849800.00;769960.00;1282732.69;0.00;0.00;0.00;0.00;4;TVA_DHL_Juillet2007.xls;28/08/2007;0;C;1;ykanche_1085486;2007-08-28 18:22:17.845;NULL;NULL;NULL;NULL;0;NULL;NULL;0.00;0.00;NULL
586;NULL;2;1111;2007;7;1;0;30/08/2007;NULL;NULL;1;1492222.22;149222.00;9860615.88;0.00;0.00;0.00;0.00;4;TVA MOIS 07_07.xls;30/08/2007;0;C;1;mlaissaoui_3315040;2007-08-30 10:01:01.968;NULL;NULL;NULL;NULL;0;NULL;NULL;0.00;0.00;NULL
587;NULL;2;1111;2007;7;1;0;NULL;NULL;NULL;1;105034840.00;20672125.80;103520591.31;0.00;0.00;0.00;0.00;2;Nexans Maroc - TVA rup - Juillet 2007.xls;NULL;0;C;1;lzendouz_1066239;2007-08-30 09:15:13.464;NULL;NULL;NULL;NULL;0;NULL;NULL;0.00;0.00;NULL
588;NULL;2;1111;2007;7;1;0;30/08/2007;NULL;NULL;1;176421525.95;34470239.70;10502655.06;0.00;23967584.64;0.00;23967584.64;4;TABLEAU RECUPERATION TVA 07 2007.xls;30/08/2007;0;D;1;amahfoud_1660323;2007-08-30 16:37:29.239;NULL;NULL;NULL;NULL;0;NULL;NULL;0.00;0.00;NULL
